,nivel,p31,p4,p34_4,p34_4_1,p3_1
12,7.0,2.0,1.0,1.0,1.0,1.0
13,7.0,2.0,2.0,1.0,1.0,1.0
16,4.0,2.0,3.0,1.0,1.0,1.0
17,7.0,2.0,2.0,1.0,1.0,1.0
23,4.0,2.0,3.0,1.0,1.0,1.0
24,7.0,2.0,2.0,1.0,1.0,1.0
33,6.0,2.0,1.0,1.0,1.0,1.0
39,7.0,2.0,2.0,1.0,1.0,1.0
42,7.0,2.0,3.0,1.0,1.0,1.0
44,7.0,2.0,2.0,1.0,1.0,1.0
45,7.0,2.0,2.0,1.0,1.0,1.0
49,7.0,1.0,5.0,1.0,4.0,1.0
52,7.0,1.0,4.0,1.0,4.0,1.0
53,3.0,2.0,8.0,1.0,1.0,1.0
62,4.0,2.0,1.0,1.0,2.0,1.0
63,6.0,2.0,2.0,1.0,3.0,1.0
64,7.0,1.0,2.0,1.0,2.0,1.0
69,3.0,2.0,2.0,1.0,1.0,1.0
71,3.0,1.0,5.0,1.0,2.0,1.0
72,7.0,2.0,2.0,1.0,3.0,1.0
74,4.0,1.0,4.0,1.0,6.0,1.0
76,4.0,1.0,2.0,1.0,1.0,1.0
78,7.0,2.0,6.0,1.0,1.0,1.0
88,6.0,2.0,1.0,1.0,1.0,1.0
94,7.0,2.0,2.0,1.0,2.0,1.0
95,7.0,2.0,1.0,1.0,1.0,1.0
98,4.0,1.0,2.0,1.0,1.0,1.0
99,6.0,2.0,5.0,1.0,1.0,1.0
109,7.0,2.0,1.0,1.0,1.0,1.0
111,7.0,2.0,1.0,1.0,1.0,1.0
113,4.0,2.0,1.0,1.0,2.0,1.0
117,7.0,2.0,15.0,1.0,2.0,1.0
119,7.0,1.0,2.0,1.0,1.0,1.0
123,7.0,2.0,4.0,1.0,1.0,1.0
126,4.0,1.0,10.0,1.0,2.0,1.0
127,4.0,1.0,3.0,1.0,1.0,1.0
136,2.0,1.0,1.0,1.0,1.0,1.0
138,7.0,1.0,5.0,1.0,1.0,1.0
145,4.0,2.0,3.0,1.0,1.0,1.0
148,7.0,1.0,4.0,1.0,3.0,1.0
150,4.0,1.0,10.0,1.0,5.0,1.0
156,7.0,1.0,1.0,1.0,3.0,1.0
158,7.0,1.0,3.0,1.0,2.0,1.0
159,7.0,1.0,4.0,1.0,1.0,1.0
160,8.0,1.0,6.0,1.0,1.0,1.0
166,3.0,2.0,3.0,1.0,6.0,1.0
168,2.0,2.0,3.0,1.0,1.0,1.0
171,6.0,1.0,4.0,1.0,5.0,1.0
183,6.0,1.0,2.0,1.0,1.0,1.0
186,7.0,1.0,3.0,1.0,1.0,1.0
187,7.0,1.0,4.0,1.0,5.0,1.0
188,7.0,2.0,20.0,1.0,1.0,1.0
190,7.0,2.0,2.0,1.0,1.0,1.0
194,7.0,1.0,2.0,1.0,1.0,1.0
195,7.0,1.0,3.0,1.0,3.0,1.0
197,3.0,1.0,3.0,1.0,1.0,1.0
202,3.0,1.0,2.0,1.0,1.0,1.0
203,3.0,1.0,2.0,1.0,1.0,1.0
206,7.0,1.0,2.0,1.0,1.0,1.0
210,7.0,1.0,3.0,1.0,2.0,1.0
219,7.0,1.0,4.0,1.0,2.0,1.0
225,7.0,1.0,2.0,1.0,2.0,1.0
229,8.0,1.0,10.0,1.0,5.0,1.0
230,8.0,2.0,2.0,1.0,2.0,1.0
233,7.0,2.0,1.0,1.0,2.0,1.0
238,7.0,2.0,2.0,1.0,2.0,1.0
240,7.0,1.0,5.0,1.0,2.0,1.0
245,7.0,1.0,5.0,1.0,2.0,1.0
248,3.0,2.0,1.0,1.0,2.0,1.0
249,4.0,1.0,1.0,1.0,1.0,1.0
258,7.0,1.0,4.0,1.0,2.0,1.0
259,4.0,1.0,5.0,1.0,1.0,1.0
260,4.0,1.0,5.0,1.0,1.0,1.0
271,4.0,2.0,3.0,1.0,1.0,1.0
272,2.0,2.0,1.0,1.0,1.0,1.0
273,4.0,1.0,3.0,1.0,1.0,1.0
275,4.0,1.0,5.0,1.0,1.0,1.0
281,8.0,1.0,6.0,1.0,1.0,1.0
283,4.0,1.0,2.0,1.0,2.0,1.0
286,5.0,2.0,1.0,1.0,1.0,1.0
287,7.0,1.0,5.0,1.0,5.0,1.0
289,4.0,1.0,3.0,1.0,2.0,1.0
293,7.0,1.0,10.0,1.0,1.0,1.0
301,7.0,2.0,1.0,1.0,5.0,1.0
303,8.0,1.0,3.0,1.0,1.0,1.0
304,7.0,1.0,3.0,1.0,1.0,1.0
309,4.0,1.0,1.0,1.0,2.0,1.0
313,7.0,1.0,2.0,1.0,2.0,1.0
