nivel,p3_1,p4,edad,p32,p34_4,p34_4_1,factor
3,2,0,52,5,1,1,36731
3,2,0,55,2,2,0,9183
3,2,0,59,3,1,1,36731
4,2,0,30,4,1,1,18365
3,2,0,54,0,1,1,7488
4,2,0,30,0,1,1,7488
2,2,0,66,2,1,1,7488
3,2,0,45,3,1,1,37436
4,2,0,26,0,1,1,7219
4,2,0,41,0,1,1,14438
4,2,0,34,0,1,1,7219
4,2,0,47,0,1,1,14438
7,1,1,54,0,1,1,16866
7,1,2,24,0,1,1,33732
4,2,0,37,0,1,1,16866
4,2,0,58,2,1,1,33732
4,1,3,22,0,1,1,41846
7,1,2,41,0,1,1,10462
4,2,0,23,2,1,1,20923
4,2,0,29,2,1,1,15088
4,2,0,59,2,1,1,22631
3,2,0,41,3,1,1,15088
2,2,0,40,0,1,1,15088
4,1,3,18,0,1,1,38673
7,1,2,35,0,1,1,38673
2,2,0,55,3,1,1,77348
3,2,0,43,3,2,0,38673
3,2,0,40,3,1,1,8033
3,2,0,26,3,1,1,16065
7,2,0,32,2,1,1,16065
2,2,0,40,3,1,1,8033
3,2,0,19,3,1,1,15435
2,2,0,43,3,2,0,7717
6,1,1,64,0,1,1,23153
3,2,0,31,0,1,1,15051
3,2,0,58,0,1,1,22576
7,2,0,49,3,1,1,15051
3,2,0,50,0,1,1,15051
6,2,0,56,3,1,1,15237
7,1,2,28,0,1,1,22855
3,2,0,28,0,1,1,7618
3,2,0,70,0,1,1,15237
7,1,3,56,0,1,1,12811
7,2,0,37,0,1,1,12811
7,1,2,40,0,1,1,19217
7,1,2,53,0,1,1,12811
4,2,0,48,0,1,1,11162
3,2,0,26,0,1,1,16743
2,2,0,66,0,2,0,11162
7,1,5,21,0,1,4,13424
3,2,0,60,0,1,1,26847
3,2,0,30,2,1,2,20136
7,1,4,30,0,1,4,17151
3,1,8,66,0,1,1,17151
7,2,0,62,0,3,0,8575
2,1,1,72,0,2,0,18783
2,2,0,67,0,2,0,6261
2,2,0,36,1,3,0,6261
4,1,4,25,0,2,0,18544
0,0,0,66,0,0,0,9272
0,2,0,60,2,2,0,18544
3,2,0,52,3,2,0,46360
4,1,1,31,0,1,2,10268
6,1,2,43,0,1,3,51337
7,1,2,33,0,1,2,10268
3,2,0,31,3,1,2,41069
7,2,0,41,1,1,6,27631
2,2,0,33,1,2,0,50984
0,2,0,60,0,2,0,16995
3,1,2,29,0,1,1,16995
2,2,0,59,1,3,0,8497
3,1,5,35,0,1,2,30768
7,1,2,61,0,1,3,7692
4,2,0,57,3,1,1,15384
4,1,4,20,0,1,6,45615
2,2,0,78,5,3,0,11404
4,1,2,34,0,1,1,8593
7,1,1,57,0,2,0,8593
7,1,6,22,0,1,1,25778
7,1,3,21,0,2,0,57999
3,2,0,22,2,1,1,14499
4,2,0,65,5,1,3,23433
7,2,0,39,0,1,2,15623
3,2,0,37,0,2,0,7811
3,2,0,48,0,2,0,18598
4,2,0,31,3,2,0,18598
3,2,0,44,2,2,0,24797
4,2,0,51,0,3,0,24797
6,1,1,61,0,1,1,15607
4,2,0,43,0,1,1,31213
7,1,1,25,0,2,0,39016
7,1,1,73,0,2,0,15607
0,0,0,64,0,0,0,15768
2,1,2,71,0,2,0,15768
7,1,2,23,0,1,2,15768
7,1,1,32,0,1,1,10025
7,2,0,45,3,1,2,10025
2,2,0,45,3,2,0,20051
4,1,2,43,0,1,1,30075
6,1,5,69,0,1,1,10163
7,2,0,27,1,1,1,10163
7,2,0,38,1,1,1,10163
4,2,0,33,1,2,0,8880
3,2,0,25,0,2,0,17759
3,2,0,42,1,2,0,17759
4,2,0,29,3,2,0,26639
4,2,0,39,4,2,0,16722
0,0,0,83,0,0,0,25082
6,1,1,47,0,2,0,33443
7,1,1,36,0,1,1,16722
6,2,0,56,1,1,1,29237
7,1,1,25,0,1,1,9746
7,2,0,38,0,1,1,9746
4,1,1,47,0,1,2,10781
3,2,0,39,1,2,0,21564
6,2,0,68,1,2,0,10781
2,2,0,25,0,2,0,21564
7,1,15,30,0,1,2,7508
4,2,0,41,2,2,0,7508
7,1,2,38,0,1,1,7508
2,2,0,63,5,2,0,22524
6,2,0,53,1,2,0,25709
7,1,2,49,0,2,0,8570
7,1,4,50,0,1,1,8570
2,1,1,64,0,2,0,25709
7,2,0,67,0,1,3,22946
4,1,10,49,0,1,2,22946
4,1,3,39,0,1,1,8293
2,1,1,64,0,2,0,15297
2,2,0,57,3,2,0,16586
4,2,0,56,0,2,0,49757
3,2,0,37,0,2,0,16586
8,2,0,45,0,1,2,16704
6,2,0,29,0,1,1,16704
3,2,0,22,0,2,0,16704
3,1,1,52,0,2,0,25057
2,1,1,63,0,1,1,16381
7,2,0,38,0,2,0,16381
7,1,5,31,0,1,1,32762
7,1,6,33,0,2,0,15679
3,2,0,33,0,2,0,23518
